BJD - 2454833, Corrected Flux
1952.063394182,1.000248863
1952.083825884,1.000333545
1952.104257486,0.999984816
1952.124688988,1.000034355
1952.206415497,1.000260765
1952.226847099,1.000853219
1952.247278802,1.000527558
1952.267710304,1.000079765
1952.288141906,1.000351148
1952.308573609,1.000054227
1952.329005111,1.000360385
1952.431163223,1.000563906
1952.451594826,1.000753096
1952.472026428,1.000365863
1952.492458031,1.000608841
1952.512889634,1.000580238
1952.533321236,1.000426956
1952.553752839,1.000466703
1952.574184342,1.000303079
1952.594616044,1.000440521
1952.655910853,1.000569647
1952.676342456,1.000401009
1952.696774158,1.000404626
1952.717205661,1.000132081
1952.737637264,1.000413480
1952.758068967,1.000676477
1952.778500470,1.000245106
1952.798932073,1.000354183
1952.819363776,1.000290401
1952.901090089,1.000249177
1952.921521792,1.000322742
1952.941953395,1.000352001
1952.962384998,1.000437095
1952.982816602,1.000218951
1953.003248205,1.000104121
1953.023679808,1.000252600
1953.044111412,1.000333048
1953.084974719,1.000218129
1953.105406322,1.000254514
1953.166701133,1.000361335
1953.187132637,1.000632176
1953.207564340,1.000197970
1953.227995844,1.000369955
1953.248427548,1.000528932
1953.268859151,1.000386992
1953.289290655,1.000250167
1953.309722359,1.000148826
1953.330153963,1.000040609
1953.350585467,1.000036659
1953.391448775,1.000191925
1953.411880279,0.999982058
1953.432311983,1.000406245
1953.452743587,1.000082874
1953.473175291,1.000223382
1953.493606795,1.000113081
1953.514038400,1.000045200
1953.534470104,1.000175348
1953.554901608,0.999966236
1953.575333213,1.000072131
1953.636628126,0.999983308
1953.657059730,0.999994005
1953.677491335,0.999866575
1953.697922939,0.999910482
1953.738786149,0.999877771
1953.759217853,0.999907457
1953.779649358,0.999988654
1953.800080963,0.999942696
1953.820512568,1.000078025
1953.902238987,0.999888802
1953.922670692,0.999999695
1953.943102197,0.999784094
1953.963533803,0.999689167
1953.983965508,0.999823946
1954.004397013,0.999903019
1954.024828618,0.999845231
1954.045260323,1.000018898
1954.065691829,0.999960801
1954.147418351,0.999787307
1954.167849956,0.999863524
1954.188281562,1.000346154
1954.208713167,0.999843188
1954.229144773,0.999796684
1954.249576479,1.000487681
1954.270007985,1.000312551
1954.290439590,1.000070376
1954.310871296,0.999760490
1954.372166114,0.999764431
1954.392597720,0.999943404
1954.413029226,1.000053800
1954.433460933,1.000107221
1954.453892539,1.000717601
1954.474324145,0.999826934
1954.494755751,1.000288997
1954.515187358,1.000073835
1954.535619064,1.000216706
1954.556050571,1.000410962
1954.576482177,1.000049175
1954.617345390,0.999885060
1954.637777097,1.000047891
1954.658208604,1.000435094
1954.678640211,0.999928884
1954.699071917,1.000013153
1954.719503424,1.000083978
1954.739935031,1.000010284
1954.760366738,1.000472714
1954.780798245,1.000064098
1954.801229852,1.000236879
1954.862524774,0.999983920
1954.882956381,1.000031610
1954.903387988,1.000144682
1954.944251203,1.000025206
1954.964682811,1.000066063
1954.985114518,1.000227954
1955.005546026,1.000622408
1955.046409341,1.000296583
1955.128135673,1.000254747
1955.148567381,1.000190380
1955.168998989,1.000117932
1955.189430497,0.999948038
1955.209862205,1.000134939
1955.230293714,1.000019073
1955.250725422,1.000125657
1955.271157030,1.000036856
1955.291588539,1.000153715
1955.312020247,1.000012776
1955.352883464,1.000096077
1955.373315073,1.000053844
1955.393746682,1.000088438
1955.414178290,1.000065783
1955.434609899,0.999964590
1955.455041508,1.000198086
1955.475473217,1.000152489
1955.495904826,1.000074812
1955.516336335,1.000113917
1955.536768044,1.000156865
1955.638926191,0.999812541
1955.659357700,0.999979588
1955.679789310,0.999926875
1955.700221019,0.999976001
1955.720652529,0.999841176
1955.781947359,1.000216874
1955.863673899,1.000022556
1955.884105409,1.000210988
1955.904537019,1.000119603
1955.924968730,0.999908343
1955.965831850,0.999988854
1955.986263561,1.000253989
1956.006695171,1.000195535
1956.027126782,1.000223962
1956.108853225,1.000494180
1956.129284836,1.000081947
1956.149716547,1.000014443
1956.170148059,1.000014578
1956.190579670,1.000012351
1956.211011381,1.000316428
1956.231442892,1.000103884
1956.251874604,1.000079023
1956.272306215,1.000312121
1956.354032562,1.000099471
1956.374464274,1.000467168
1956.415327597,1.000130636
1956.435759109,0.999986280
1956.456190722,0.999975052
1956.476622434,1.000108632
1956.497053946,1.000531222
1956.517485558,1.000329662
1956.599212008,1.000005260
1956.619643621,0.999995113
1956.640075334,1.000587533
1956.680938459,1.000274292
1956.701370172,0.999962772
1956.721801785,1.000072671
1956.742233299,1.000261179
1956.762665012,1.000460741
1956.783096625,1.000357485
1956.844391465,1.000164637
1956.864823179,1.000374065
1956.885254692,1.000378647
1956.905686306,1.000229662
1956.926118020,1.000631962
1956.946549534,1.000211085
1957.007844376,1.000231434
1957.089570933,1.000192801
1957.110002547,1.000213442
1957.130434062,1.000301446
1957.150865777,1.000144391
1957.171297391,1.000206944
1957.191729006,1.000147149
1957.212160621,1.000142788
1957.232592236,1.000410302
1957.253023851,1.000371392
1957.273455466,0.999975492
1957.314318697,1.000123325
1957.334750312,1.000087900
1957.355181928,1.000272428
1957.375613643,1.000020535
1957.396045159,1.000292025
1957.416476874,1.000192560
1957.436908490,1.000320013
1957.477771722,1.000443858
1957.498203338,1.000411258
1957.579929903,1.000139021
1957.600361419,1.000119078
1957.620793036,1.000120791
1957.641224752,1.000223163
1957.661656269,1.000087345
1957.702519603,1.000170156
1957.722951120,1.000164512
1957.743382737,1.000578883
1957.825109306,1.000012686
1957.845540923,1.000062397
1957.865972541,1.000110357
1957.886404158,1.000140944
1957.906835676,1.000164916
1957.947699012,1.000315722
1957.968130630,1.000206287
1957.988562248,1.000457537
1958.008993866,1.000394934
1958.070288721,1.000204090
